sku,category,name,pack_size,price,qty_on_hand
2800516C,Special Flavored Nuts,Marcona Almond Salted,12 x 10 oz,,
2800520C,Special Flavored Nuts,Marcona Almonds with Truffle,12 x 10 oz,,
2800521,Special Flavored Nuts,Marcona Almonds with Lemon,12 x 10 oz,,
2810520,Special Flavored Nuts,Cashew Truffle,12 x 9 oz,,
2810521,Special Flavored Nuts,Peanuts with Truffle,12 x 9 oz,,
2800522,Special Flavored Nuts,Valencia Almonds with Rosemary,12 x 10 oz,,
2820515C,Special Flavored Nuts,Walnuts Caramelized,12 x 7 oz,,
2840515C,Special Flavored Nuts,Pecans Caramelized,12 x 8 oz,,
6000501,Organic Nuts,Organic Almonds Raw,12 x 9.5 oz,,
6000502,Organic Nuts,Organic Almonds Roasted Salted,12 x 9.5 oz,,
6000503,Organic Nuts,Organic Almonds Roasted Unsalted,12 x 9.5 oz,,
6010503,Organic Nuts,Organic Cashew Raw,12 x 9 oz,,
6010504,Organic Nuts,Organic Cashew Roasted Salted,12 x 9 oz,,
6010505,Organic Nuts,Organic Cashew Roasted Unsalted,12 x 9 oz,,
6050501,Organic Nuts,Organic Hazelnuts Oregon,12 x 9 oz,,
6080505,Organic Nuts,Organic Mix Nuts Salted,12 x 9 oz,,
6080506,Organic Nuts,Organic Mix Nuts Unsalted,12 x 10 oz,,
6070504,Organic Nuts,Organic Peanuts Roasted Salted,12 x 10 oz,,
6040501,Organic Nuts,Organic Pecans,12 x 7 oz,,
6020502,Organic Nuts,Organic Walnuts,12 x 7 oz,,
2800505,Nuts,Almond Blanched Sliced,12 x 6 oz,,
2800414,Nuts,Almond Jordanian Assorted,16 x 10 oz,,
2800506,Nuts,Almond Natural Sliced,12 x 6 oz,,
2800501,Nuts,Almond Raw,12 x 8 oz,,
2800502,Nuts,Almond Roasted Salted,12 x 8 oz,,
2800503,Nuts,Almond Roasted Unsalted,12 x 8 oz,,
2800507,Nuts,Almond Slivered Blanched,12 x 8 oz,,
2800512,Nuts,Almond Tamari,12 x 8 oz,,
2800504,Nuts,Almond Whole Blanched,16 x 7 oz,,
2800408,Nuts,Almonds Roasted Honey,16 x 6 oz,,
2860401,Nuts,Brazil Nuts Raw,16 x 6 oz,,
2860501CV,Nuts,Brazil Nuts Raw,12 x 10 oz,,
2810500,Nuts,Cashew Raw,12 x 8 oz,,
2810501,Nuts,Cashew Roasted Salted,12 x 8 oz,,
2810502,Nuts,Cashew Roasted Unsalted,12 x 8 oz,,
2810407,Nuts,Cashew Roasted Honey,16 x 6 oz,,
2880507,Nuts,Corn Nuts Roasted Salted,12 x 6 oz,,
2880510,Nuts,Green Peas Whole,12 x 6.5 oz,,
2850401,Nuts,Hazelnut (Filberts) Turkish,16 x 6 oz,,
2860407,Nuts,Macadamia Nuts,16 x 6 oz,,
3180502,Nuts,Mixed Nuts Salted (Peanuts),12 x 8 oz,,
3180503,Nuts,Mixed Nuts Unsalted (Peanuts),12 x 8 oz,,
3180505,Nuts,Mixed Nuts Salted Supreme,12 x 8 oz,,
3180506,Nuts,Mixed Nuts Unsalted Supreme,12 x 8 oz,,
2870504,Nuts,Peanut Roasted Salted,12 x 9 oz,,
2870503,Nuts,Peanuts Blanched Raw,12 x 9 oz,,
2870509,Nuts,Peanuts Cajun,12 x 9 oz,,
2870411,Nuts,Peanuts Honey Roasted,16 x 6.5 oz,,
2870505,Nuts,Peanuts Roasted Unsalted,12 x 9 oz,,
2840501,Nuts,Pecan Light Halves,12 x 6.5 oz,,
2890400,Nuts,Pepitas Raw,16 x 6 oz,,
2890401,Nuts,Pepitas Roasted Salted,16 x 6 oz,,
2890402,Nuts,Pepitas Roasted Unsalted,16 x 6 oz,,
2860310,Nuts,Pinenuts (Pignolias) Raw,24 x 4 oz,,
2830501,Nuts,Pistachio Inshell Salted,12 x 7 oz,,
2830502,Nuts,Pistachio Inshell Unsalted,12 x 7 oz,,
2830405,Nuts,Pistachio Kernels Raw,16 x 6 oz,,
2830404,Nuts,Pistachio Turkish,16 x 6.5 oz,,
2890505,Nuts,Pumpkin Seeds In Shell Salted,12 x 6 oz,,
2890506,Nuts,Pumpkin Seeds In Shell Unsalted,12 x 6 oz,,
2890507,Nuts,Sunflower In Shell Salted,12 x 5 oz,,
2890508,Nuts,Sunflower In Shell Unsalted,12 x 5 oz,,
2890511,Nuts,Sunflower Kernels Unsalted,12 x 9 oz,,
2890509,Nuts,Sunflower Seeds Kernel Raw,12 x 9 oz,,
2890510,Nuts,Sunflower Seeds Salted Kernels,12 x 9 oz,,
2820502,Nuts,Walnuts Light Halves & Pieces,12 x 6 oz,,
2880511,Nuts,Wasabi Greenpeas,12 x 6 oz,,
3000503,Trail Mixes,All Natural Healthy Mix,12 x 9 oz,,
3000541,Trail Mixes,Antioxidant Mix,12 x 8 oz,,
3000514,Trail Mixes,Berry Nutty Mix,12 x 10 oz,,
3000427,Trail Mixes,Cajun Hot Mix,16 x 5 oz,,
3000517,Trail Mixes,California Aloha Mix,12 x 8 oz,,
3000513,Trail Mixes,Cherry Berry Mix,12 x 8 oz,,
3000542,Trail Mixes,Choco N Nut Mix,12 x 10 oz,,
3000535,Trail Mixes,Cranberry Craze,12 x 8 oz,,
3000509,Trail Mixes,Cranberry Gold Mix,12 x 9 oz,,
3000536,Trail Mixes,Cranberry Healthy Mix,12 x 9 oz,,
3000506,Trail Mixes,Dieter's Delight Mix,12 x 9 oz,,
3000504,Trail Mixes,Energy Mix,12 x 10 oz,,
3000533,Trail Mixes,Fanatic Fruit Mix,12 x 8 oz,,
3000505,Trail Mixes,Fitness Mix,12 x 8 oz,,
3000415,Trail Mixes,Goji Berry Mix,16 x 7 oz,,
3000507,Trail Mixes,Hiker Trail Mix,12 x 8 oz,,
3000511,Trail Mixes,Hippie Mix,12 x 10 oz,,
3000523,Trail Mixes,Honey and Milk Medley Mix,12 x 10 oz,,
3000502,Trail Mixes,Omega 3 Mix,12 x 10 oz,,
3000528,Trail Mixes,Oriental Party Mix,12 x 8 oz,,
3000516,Trail Mixes,Pacific Almond Mix,12 x 5 oz,,
3000524,Trail Mixes,Rainbow Delight Mix,12 x 10 oz,,
3000519,Trail Mixes,Raisin Nuts Mix,12 x 9 oz,,
3000518,Trail Mixes,Rocky Mountain Mix,12 x 8 oz,,
3000501,Trail Mixes,Salad Topping Mix,12 x 8 oz,,
3000525,Trail Mixes,Simple Trek Mix,12 x 8 oz,,
3000540,Trail Mixes,Sweet & Salty Mix,12 x 9 oz,,
3000531,Trail Mixes,Sweet Sea Salt Sensation Mix,12 x 9 oz,,
3000529,Trail Mixes,Wasabi Wow Mix,12 x 8 oz,,
3000522,Trail Mixes,Yogurt Deluxe Trail Mix,12 x 10 oz,,
2910529,Dried Fruits & Vegetables,Apple Rings,12 x 4.5 oz,,
2910415,Dried Fruits & Vegetables,Apricots Turkish,12 x 11 oz,,
2910513,Dried Fruits & Vegetables,Apricots Californian,12 x 11 oz,,
2910553,Dried Fruits & Vegetables,Coconuts,12 x 6 oz,,
2910555,Dried Fruits & Vegetables,Coconuts Flakes,12 x 4 oz,,
2910501,Dried Fruits & Vegetables,Cranberries,12 x 8 oz,,
2910519,Dried Fruits & Vegetables,Dates Medjool,12 x 9 oz,,
2910520,Dried Fruits & Vegetables,Dates Pitted,12 x 8 oz,,
2910416,Dried Fruits & Vegetables,Figs Black Mission,16 x 6 oz,,
2910418,Dried Fruits & Vegetables,Figs Turkish,16 x 6 oz,,
2910441,Dried Fruits & Vegetables,Ginger Crystalized,16 x 6 oz,,
2910517,Dried Fruits & Vegetables,Kalamata Figs,16 x 11 oz,,
2910546,Dried Fruits & Vegetables,Kiwi Slices,12 x 6 oz,,
2910532,Dried Fruits & Vegetables,Mango Slices,12 x 6 oz,,
2910535,Dried Fruits & Vegetables,Papaya Chunks,12 x 10 oz,,
2910534,Dried Fruits & Vegetables,Papaya Spears,12 x 8 oz,,
2910443,Dried Fruits & Vegetables,Peach Slices,16 x 6 oz,,
2910444,Dried Fruits & Vegetables,Pears Slices,16 x 6 oz,,
2910539,Dried Fruits & Vegetables,Pineapple Chunk,12 x 9 oz,,
2910538,Dried Fruits & Vegetables,Pineapple Ring,12 x 8 oz,,
2910423,Dried Fruits & Vegetables,Prunes Pitted,16 x 8 oz,,
2910523CV,Dried Fruits & Vegetables,Prunes Pitted,12 x 12 oz,,
2910525,Dried Fruits & Vegetables,Raisin Black,12 x 10 oz,,
2910527,Dried Fruits & Vegetables,Raisin Golden,12 x 9 oz,,
6110415,Dried Fruits - Organic,Organic Apricots,12 x 8 oz,,
6110402,Dried Fruits - Organic,Organic Cherries Sour,16 x 6.5 oz,,
6110401,Dried Fruits - Organic,Organic Cranberries,12 x 6 oz,,
6110419,Dried Fruits - Organic,Organic Dates Medjool,16 x 6 oz,,
6110420,Dried Fruits - Organic,Organic Dates Pitted,16 x 6 oz,,
6110418,Dried Fruits - Organic,Organic Figs Turkish,16 x 6 oz,,
6110432,Dried Fruits - Organic,Organic Mango Slices,16 x 4 oz,,
6110425,Dried Fruits - Organic,Organic Raisins Black,16 x 6.5 oz,,
2112008,Grains & Beans,Blackeyed Peas,20 x 16 oz,,
2150513,Grains & Beans,Chia Seeds,12 x 11 oz,,
2152013,Grains & Beans,Chia Seeds,20 x 16 oz,,
2112012,Grains & Beans,Chick Peas / Garbanzos,20 x 16 oz,,
2120539,Grains & Beans,Couscous Israeli,12 x 10 oz,,
2122038,Grains & Beans,Couscous Medium,20 x 16 oz,,
2112004,Grains & Beans,Dark Red Kidney Beans,20 x 16 oz,,
2122020,Grains & Beans,Dunya Red Quinoa,20 x 16 oz,,
2150514,Grains & Beans,Flax Seeds,12 x 10.5 oz,,
2152014,Grains & Beans,Flax Seeds,20 x 16 oz,,
2132010,Grains & Beans,Green Split Peas,20 x 16 oz,,
2112005,Grains & Beans,Light Red Kidney Beans,20 x 16 oz,,
2112006,Grains & Beans,Navy Beans,20 x 16 oz,,
2112007,Grains & Beans,Pinto Beans,20 x 16 oz,,
2120519,Grains & Beans,Quinoa White,12 x 11 oz,,
2122019,Grains & Beans,Quinoa White,20 x 16 oz,,
2132002,Grains & Beans,Red Lentils,20 x 16 oz,,
2122011,Grains & Beans,Red Lentils,20 x 16 oz,,
2150516,Grains & Beans,Sesame Seeds Hulled,12 x 7 oz,,
2132011,Grains & Beans,Yellow Split Peas,20 x 16 oz,,
3140407,Chocolate Covered Items,Graham Crackers Dark Chocolate Covered,12 x 5 oz,,
3140406,Chocolate Covered Items,Graham Crackers Milk Chocolate Covered,12 x 5 oz,,
3200501,Chocolate Covered Items,Nonpareils Dark Chocolate,12 x 10.5 oz,,
NEW-3200XXX,Chocolate Covered Items,Nonpareils Milk Chocolate,12 x 10.5 oz,,
NEW-3200YYY,Chocolate Covered Items,Sea Salt Milk Chocolate Caramels,12 x 7 oz,,
NEW-3200ZZZ,Chocolate Covered Items,Sea Salt Dark Chocolate Caramels,12 x 7 oz,,
3210402,Chocolate Covered Items,Almond Dark Chocolate Covered,12 x 10 oz,,
3210401,Chocolate Covered Items,Almond Milk Chocolate Covered,12 x 10 oz,,
3210403,Chocolate Covered Items,Almond Yogurt Covered,12 x 10 oz,,
3210405,Chocolate Covered Items,Cashew Dark Chocolate Covered,12 x 10 oz,,
3210404,Chocolate Covered Items,Cashew Milk Chocolate Covered,12 x 10 oz,,
3220404,Chocolate Covered Items,Cherries Dark Chocolate,12 x 11 oz,,
3200405,Chocolate Covered Items,Chocolate Sprinkles,12 x 10 oz,,
3220405,Chocolate Covered Items,Cranberries Dark Chocolate,12 x 11 oz,,
3220407,Chocolate Covered Items,Cranberries Milk Chocolate,12 x 11 oz,,
3210413,Chocolate Covered Items,Espresso Beans Dark Chocolate,12 x 10 oz,,
3200403,Chocolate Covered Items,Jelly Rings Dark Chocolate,12 x 12 oz,,
3200402,Chocolate Covered Items,Malt Ball Milk Chocolate Covered,12 x 9 oz,,
3200407,Chocolate Covered Items,Non Pareil Sprinkles,12 x 11 oz,,
3204007,Chocolate Covered Items,Non Pareil Dark Chocolate,12 x 11 oz,,
3210411,Chocolate Covered Items,Peanuts Dark Chocolate Covered,12 x 12 oz,,
3210410,Chocolate Covered Items,Peanuts Milk Chocolate Covered,12 x 12 oz,,
3210412,Chocolate Covered Items,Peanuts Yogurt Covered,12 x 12 oz,,
3200406,Chocolate Covered Items,Rainbow Sprinkles,12 x 10 oz,,
3220402,Chocolate Covered Items,Raisin Dark Chocolate Covered,12 x 12 oz,,
3220401,Chocolate Covered Items,Raisin Milk Chocolate Covered,12 x 12 oz,,
3220403,Chocolate Covered Items,Raisins Yogurt Covered,12 x 10 oz,,
3360614,Candy,"Gummy Worms, Sour",12 x 10 oz,,
3310604,Candy,Jelly Beans,12 x 16 oz,,
3310504CV,Candy,Jelly Beans,12 x 16 oz,,
3310605,Candy,Red & Black Raspberry,12 x 9 oz,,
3370602,Candy,Red Fish,12 x 10 oz,,
3360606,Candy,Sour Patch Kids,12 x 12 oz,,
3370502CV,Candy,Red Fish,12 x 12 oz,,
3370601,Candy,Swedish Fish,12 x 12 oz,,
3130506,Chocolate Covered Items,Pretzels Blueberry Covered,12 x 7 oz,,
3130502,Chocolate Covered Items,Pretzels Dark Chocolate,12 x 7 oz,,
3130501,Chocolate Covered Items,Pretzels Milk Chocolate,12 x 7 oz,,
3130505,Chocolate Covered Items,Pretzels Strawberry Covered,12 x 7 oz,,
3130504,Chocolate Covered Items,Pretzels Toffee Covered,12 x 7 oz,,
3130503,Chocolate Covered Items,Pretzels Yogurt Covered,12 x 7 oz,,
3110501,Health Snacks,Chips Banana Sweetened,12 x 5 oz,,
3112003,Health Snacks,Chips Plantain Garlic,12 x 4 oz,,
3110703,Health Snacks,Chips Plantain Garlic,12 x 7 oz,,
3110702,Health Snacks,Chips Plantain Salted,12 x 7 oz,,
3110704,Health Snacks,Chips Plantain Spicy,12 x 7 oz,,
3110706,Health Snacks,Chips Plantain Sweet,12 x 7 oz,,
3110507,Health Snacks,Chips Vegetable,12 x 4 oz,,
3100503,Health Snacks,Honey Nut & Seed Crunch,12 x 8 oz,,
3100501,Health Snacks,Honey Peanut Crunch,12 x 8 oz,,
3100502,Health Snacks,Honey Sesame Crunch,12 x 7 oz,,
3190502,Health Snacks,Oat Bran Sticks,12 x 5.5 oz,,
3190505,Health Snacks,Oriental Rice Snack,12 x 4 oz,,
3190503,Health Snacks,Sesame Sticks,12 x 9 oz,,
3190504,Health Snacks,Sesame Sticks Honey Roasted,12 x 7 oz,,
6801901,Nuts & Seeds (Screw Top),Organic Almonds Raw,14 x 10 oz,,
6801902,Nuts & Seeds (Screw Top),Organic Almonds Salted,14 x 10 oz,,
6801903,Nuts & Seeds (Screw Top),Organic Almonds Unsalted,14 x 10 oz,,
2801908,Nuts & Seeds (Screw Top),Almonds Honey Roasted,14 x 9 oz,,
2801958,Nuts & Seeds (Screw Top),Almonds Sliced,14 x 8 oz,,
6811900,Nuts & Seeds (Screw Top),Organic Cashews Raw,14 x 10 oz,,
6811901,Nuts & Seeds (Screw Top),Organic Cashews Salted,14 x 10 oz,,
6811902,Nuts & Seeds (Screw Top),Organic Cashew Unsalted,14 x 10 oz,,
2801901,Nuts & Seeds (Screw Top),Almonds Raw,14 x 10 oz,,
2801902,Nuts & Seeds (Screw Top),Almonds Salted,14 x 10 oz,,
2801903,Nuts & Seeds (Screw Top),Almonds Unsalted,14 x 10 oz,,
2811900,Nuts & Seeds (Screw Top),Cashews Raw,14 x 10 oz,,
2811901,Nuts & Seeds (Screw Top),Cashews Salted,14 x 10 oz,,
2811902,Nuts & Seeds (Screw Top),Cashew Unsalted,14 x 10 oz,,
5811902,Nuts & Seeds (Screw Top),Truffle Cashews,14 x 10 oz,,
2811907,Nuts & Seeds (Screw Top),Cashews Honey Roasted,14 x 9 oz,,
2811977,Nuts & Seeds (Screw Top),Organic Hazelnuts,14 x 9 oz,,
6181902,Nuts & Seeds (Screw Top),Organic Mixed Nuts Salted,14 x 8 oz,,
6181903,Nuts & Seeds (Screw Top),Organic Mixed Nuts Unsalted,14 x 8 oz,,
5181945,Nuts & Seeds (Screw Top),Peach Slices,14 x 9 oz,,
5181946,Nuts & Seeds (Screw Top),Pear Slices,14 x 10 oz,,
2831901,Nuts & Seeds (Screw Top),Pistachio Inshell Salted,14 x 10 oz,,
2831902,Nuts & Seeds (Screw Top),Pistachio Inshell Unsalted,14 x 8 oz,,
2831962,Nuts & Seeds (Screw Top),Truffle Peanuts,14 x 10 oz,,
2871904,Nuts & Seeds (Screw Top),Peanuts Salted,14 x 10 oz,,
2871905,Nuts & Seeds (Screw Top),Peanuts Unsalted,14 x 10 oz,,
2871911,Nuts & Seeds (Screw Top),Peanuts Honey Roasted,14 x 9 oz,,
2891906,Nuts & Seeds (Screw Top),Pumpkin Seeds Unsalted,14 x 11 oz,,
2891901,Nuts & Seeds (Screw Top),Pumpkin Seeds Salted,14 x 11 oz,,
2891900,Nuts & Seeds (Screw Top),Pumpkin Seeds Raw,14 x 11 oz,,
6841901,Nuts & Seeds (Screw Top),Organic Pecan Halves,14 x 8 oz,,
6821902,Nuts & Seeds (Screw Top),Organic Walnuts Light Halves & Pieces,14 x 7 oz,,
3001903,Mixes (Screw Top),Healthy Mix,14 x 8 oz,,
3001941,Mixes (Screw Top),Antioxidant Mix,14 x 10 oz,,
3001904,Mixes (Screw Top),Energy Mix,14 x 9 oz,,
3001902,Mixes (Screw Top),Omega-3 Mix,14 x 9 oz,,
6001903,Mixes (Screw Top),Organic Omega-3 Mix,14 x 9 oz,,
6911901,Dried Fruits (Screw Top),Organic Cranberries,14 x 9 oz,,
2911920,Dried Fruits (Screw Top),Organic Dates Pitted,14 x 10 oz,,
2911927,Dried Fruits (Screw Top),Golden Raisin,14 x 10 oz,,
2911925,Dried Fruits (Screw Top),Black Raisin,14 x 10 oz,,
6911926,Dried Fruits (Screw Top),Organic Black Raisin,14 x 10 oz,,
2910539B,Dried Fruits (Screw Top),Pineapple Chunk,14 x 8 oz,,
2910540,Dried Fruits (Screw Top),Pineapple Rings,14 x 8 oz,,
2910423B,Dried Fruits (Screw Top),Prunes Pitted,14 x 12 oz,,
6910424,Dried Fruits (Screw Top),Organic Prunes Pitted,14 x 12 oz,,
2911915,Dried Fruits (Screw Top),Turkish Apricots,14 x 11 oz,,
2911913,Dried Fruits (Screw Top),Californian Apricots,14 x 10 oz,,
2911932,Dried Fruits (Screw Top),Mango Slices,14 x 9 oz,,
6911933,Dried Fruits (Screw Top),Organic Mango Slices,14 x 6 oz,,
2801920,Nuts & Seeds (Screw Top),Truffle Marcona Almonds,14 x 10 oz,,
2801916,Nuts & Seeds (Screw Top),Marcona Almonds Salted,14 x 10 oz,,
2801922,Nuts & Seeds (Screw Top),Marcona Almonds with Rosemary,14 x 10 oz,,
2801921,Nuts & Seeds (Screw Top),Marcona Almonds with Lemon Pepper,14 x 10 oz,,
2821915,Nuts & Seeds (Screw Top),Caramelized Walnuts,14 x 7 oz,,
2841915,Nuts & Seeds (Screw Top),Caramelized Pecans,14 x 9 oz,,
2841945,Nuts & Seeds (Screw Top),Kiwi Slices,14 x 9 oz,,
2841946,Nuts & Seeds (Screw Top),Sour Cherry,14 x 10 oz,,
2841947,Nuts & Seeds (Screw Top),Macadamia Nuts,14 x 10 oz,,
3211902,Chocolate Covered (Small),Almonds Dark Chocolate,18 x 8 oz,,
3211901,Chocolate Covered (Small),Almond Milk Chocolate,18 x 8 oz,,
3221905,Chocolate Covered (Small),Cranberries Dark Chocolate,18 x 9 oz,,
3221907,Chocolate Covered (Small),Cranberries Milk Chocolate,18 x 9 oz,,
